date;year;month;prod_brand;category;subcategory;tags; prod_unit_price ;prod_units
9/07/2019;2019;7;COLMANS;Supermercado;Despensa;Salsas y vinagres;2540,00;Unidades
9/07/2019;2019;7;FRUCO;Supermercado;Despensa;Salsas y vinagres;4350,00;Unidades
9/07/2019;2019;7;MAGGI;Supermercado;Despensa;Salsas y vinagres;2378,00;Unidades
9/07/2019;2019;7;FRUCO;Supermercado;Despensa;Salsas y vinagres;6250,00;Unidades
9/07/2019;2019;7;LA CONSTANCIA;Supermercado;Despensa;Salsas y vinagres;7520,00;Unidades
9/07/2019;2019;7;HEINZ;Supermercado;Despensa;Salsas y vinagres;4310,00;Unidades
9/07/2019;2019;7;FRUCO;Supermercado;Despensa;Salsas y vinagres;4360,00;Unidades
9/07/2019;2019;7;FRUCO;Supermercado;Despensa;Salsas y vinagres;4400,00;Unidades
9/07/2019;2019;7;AZTECA;Supermercado;Despensa;Salsas y vinagres;6730,00;Unidades
9/07/2019;2019;7;DORIA;Supermercado;Despensa;Salsas y vinagres;3060,00;Unidades
9/07/2019;2019;7;ADEREZOS;Supermercado;Despensa;Salsas y vinagres;6490,00;Unidades
9/07/2019;2019;7;DORIA;Supermercado;Despensa;Salsas y vinagres;3190,00;Unidades
9/07/2019;2019;7;FRUCO;Supermercado;Despensa;Salsas y vinagres;3624,00;Unidades
9/07/2019;2019;7;LA CONSTANCIA;Supermercado;Despensa;Salsas y vinagres;3250,00;Unidades
9/07/2019;2019;7;LA CONSTANCIA;Supermercado;Despensa;Salsas y vinagres;4970,00;Unidades
9/07/2019;2019;7;LA CONSTANCIA;Supermercado;Despensa;Salsas y vinagres;4190,00;Unidades
9/07/2019;2019;7;DORIA;Supermercado;Despensa;Salsas y vinagres;3190,00;Unidades
9/07/2019;2019;7;KNORR;Supermercado;Despensa;Salsas y vinagres;2860,00;Unidades
9/07/2019;2019;7;FRUCO;Supermercado;Despensa;Salsas y vinagres;4720,00;Unidades
9/07/2019;2019;7;FRUCO;Supermercado;Despensa;Salsas y vinagres;5300,00;Unidades
9/07/2019;2019;7;KNORR;Supermercado;Despensa;Salsas y vinagres;2860,00;Unidades
9/07/2019;2019;7;FRUCO;Supermercado;Despensa;Salsas y vinagres;3990,00;Unidades
9/07/2019;2019;7;LA CONSTANCIA;Supermercado;Despensa;Salsas y vinagres;3170,00;Unidades
9/07/2019;2019;7;KNORR;Supermercado;Despensa;Salsas y vinagres;2860,00;Unidades
9/07/2019;2019;7;KNORR;Supermercado;Despensa;Salsas y vinagres;2860,00;Unidades
9/07/2019;2019;7;LA CONSTANCIA;Supermercado;Despensa;Salsas y vinagres;4190,00;Unidades
9/07/2019;2019;7;SAN JORGE;Supermercado;Despensa;Salsas y vinagres;3470,00;Unidades
9/07/2019;2019;7;ADEREZOS;Supermercado;Despensa;Salsas y vinagres;5000,00;Unidades
9/07/2019;2019;7;LA CONSTANCIA;Supermercado;Despensa;Salsas y vinagres;3780,00;Unidades
9/07/2019;2019;7;KNORR;Supermercado;Despensa;Salsas y vinagres;2860,00;Unidades
9/07/2019;2019;7;FRUCO;Supermercado;Despensa;Salsas y vinagres;4740,00;Unidades
9/07/2019;2019;7;MAGGI;Supermercado;Despensa;Salsas y vinagres;2160,00;Unidades
9/07/2019;2019;7;SAN JORGE;Supermercado;Despensa;Salsas y vinagres;3160,00;Unidades
9/07/2019;2019;7;FRUCO;Supermercado;Despensa;Salsas y vinagres;4580,00;Unidades
9/07/2019;2019;7;FRUCO;Supermercado;Despensa;Salsas y vinagres;6450,00;Unidades
9/07/2019;2019;7;ADEREZOS;Supermercado;Despensa;Salsas y vinagres;6220,00;Unidades
9/07/2019;2019;7;LA CONSTANCIA;Supermercado;Despensa;Salsas y vinagres;3760,00;Unidades
9/07/2019;2019;7;MAGGI;Supermercado;Despensa;Salsas y vinagres;2160,00;Unidades
9/07/2019;2019;7;SAN JORGE;Supermercado;Despensa;Salsas y vinagres;3680,00;Unidades
9/07/2019;2019;7;COLMANS;Supermercado;Despensa;Salsas y vinagres;3030,00;Unidades
9/07/2019;2019;7;LA CONSTANCIA;Supermercado;Despensa;Salsas y vinagres;7390,00;Unidades
9/07/2019;2019;7;LA CONSTANCIA;Supermercado;Despensa;Salsas y vinagres;2790,00;Unidades
9/07/2019;2019;7;AZTECA;Supermercado;Despensa;Salsas y vinagres;4590,00;Unidades
9/07/2019;2019;7;LA COSTENA;Supermercado;Despensa;Salsas y vinagres;5990,00;Unidades
9/07/2019;2019;7;RESPIN;Supermercado;Despensa;Salsas y vinagres;2790,00;Unidades
9/07/2019;2019;7;AZTECA;Supermercado;Despensa;Salsas y vinagres;4400,00;Unidades
9/07/2019;2019;7;LA COSTENA;Supermercado;Despensa;Salsas y vinagres;4990,00;Unidades
