nombre,ruc,direccion,telefono,_class
Proveedor 1,897451060,"Carrera 47 # 86-65, Bogotá",312752983,com.ShopMaster.Model.Proveedor
Proveedor 2,894604776,"Carrera 39 # 85-39, Cali",319846506,com.ShopMaster.Model.Proveedor
Proveedor 3,899154373,"Carrera 29 # 76-5, Medellín",303873759,com.ShopMaster.Model.Proveedor
Proveedor 4,898646219,"Carrera 91 # 3-91, Cali",316601588,com.ShopMaster.Model.Proveedor
Proveedor 5,895256472,"Carrera 24 # 35-79, Medellín",317152300,com.ShopMaster.Model.Proveedor
Proveedor 6,891348067,"Carrera 57 # 57-72, Cartagena",317024629,com.ShopMaster.Model.Proveedor
Proveedor 7,896393579,"Carrera 27 # 27-53, Bogotá",314012205,com.ShopMaster.Model.Proveedor
Proveedor 8,891651469,"Carrera 43 # 92-47, Cartagena",309729061,com.ShopMaster.Model.Proveedor
Proveedor 9,891215735,"Carrera 5 # 16-74, Bogotá",316764519,com.ShopMaster.Model.Proveedor
Proveedor 10,894778409,"Carrera 37 # 10-47, Cartagena",312877580,com.ShopMaster.Model.Proveedor
Proveedor 11,897280663,"Carrera 67 # 26-12, Cali",302913641,com.ShopMaster.Model.Proveedor
Proveedor 12,893069456,"Carrera 67 # 17-3, Bogotá",311447178,com.ShopMaster.Model.Proveedor
Proveedor 13,896221259,"Carrera 83 # 13-27, Barranquilla",306239177,com.ShopMaster.Model.Proveedor
Proveedor 14,898859440,"Carrera 94 # 5-69, Bogotá",301271237,com.ShopMaster.Model.Proveedor
Proveedor 15,891902878,"Carrera 50 # 22-66, Cartagena",306930716,com.ShopMaster.Model.Proveedor
Proveedor 16,895553776,"Carrera 33 # 41-89, Barranquilla",314394600,com.ShopMaster.Model.Proveedor
Proveedor 17,895140000,"Carrera 43 # 28-70, Medellín",302547163,com.ShopMaster.Model.Proveedor
Proveedor 18,899566281,"Carrera 74 # 6-27, Barranquilla",304660890,com.ShopMaster.Model.Proveedor
Proveedor 19,898551908,"Carrera 96 # 10-19, Cali",303024776,com.ShopMaster.Model.Proveedor
Proveedor 20,892149175,"Carrera 8 # 1-64, Bogotá",309135485,com.ShopMaster.Model.Proveedor
Proveedor 21,892451800,"Carrera 46 # 60-76, Bogotá",313288058,com.ShopMaster.Model.Proveedor
Proveedor 22,891086189,"Carrera 50 # 39-27, Cartagena",305004321,com.ShopMaster.Model.Proveedor
Proveedor 23,892962810,"Carrera 5 # 96-63, Cartagena",318957299,com.ShopMaster.Model.Proveedor
Proveedor 24,894456375,"Carrera 87 # 21-51, Bogotá",308905331,com.ShopMaster.Model.Proveedor
Proveedor 25,894437420,"Carrera 62 # 3-49, Cali",312302736,com.ShopMaster.Model.Proveedor
Proveedor 26,894978140,"Carrera 56 # 4-28, Cali",313188812,com.ShopMaster.Model.Proveedor
Proveedor 27,895169374,"Carrera 46 # 60-83, Bogotá",313580659,com.ShopMaster.Model.Proveedor
Proveedor 28,896441273,"Carrera 48 # 96-65, Cartagena",313271037,com.ShopMaster.Model.Proveedor
Proveedor 29,898242956,"Carrera 19 # 89-51, Medellín",312953990,com.ShopMaster.Model.Proveedor
Proveedor 30,897131519,"Carrera 25 # 96-55, Cartagena",312751965,com.ShopMaster.Model.Proveedor
Proveedor 31,895279536,"Carrera 5 # 100-18, Bogotá",319040930,com.ShopMaster.Model.Proveedor
Proveedor 32,898518332,"Carrera 88 # 56-46, Cartagena",302229010,com.ShopMaster.Model.Proveedor
Proveedor 33,894383127,"Carrera 46 # 30-52, Bogotá",308899355,com.ShopMaster.Model.Proveedor
Proveedor 34,892910348,"Carrera 28 # 22-28, Cali",306347999,com.ShopMaster.Model.Proveedor
Proveedor 35,894140107,"Carrera 62 # 90-41, Cartagena",301098891,com.ShopMaster.Model.Proveedor
Proveedor 36,896430934,"Carrera 98 # 47-63, Cartagena",301219268,com.ShopMaster.Model.Proveedor
Proveedor 37,899257684,"Carrera 37 # 72-54, Medellín",301832340,com.ShopMaster.Model.Proveedor
Proveedor 38,899403899,"Carrera 90 # 2-66, Barranquilla",305103875,com.ShopMaster.Model.Proveedor
Proveedor 39,899409941,"Carrera 50 # 67-12, Cali",314856111,com.ShopMaster.Model.Proveedor
Proveedor 40,895026693,"Carrera 63 # 30-9, Barranquilla",313330451,com.ShopMaster.Model.Proveedor
Proveedor 41,891687342,"Carrera 30 # 25-92, Medellín",313743570,com.ShopMaster.Model.Proveedor
Proveedor 42,899600959,"Carrera 34 # 73-75, Medellín",303073282,com.ShopMaster.Model.Proveedor
Proveedor 43,893159316,"Carrera 73 # 47-96, Medellín",302532132,com.ShopMaster.Model.Proveedor
Proveedor 44,898362389,"Carrera 1 # 37-54, Barranquilla",312686933,com.ShopMaster.Model.Proveedor
Proveedor 45,897080868,"Carrera 51 # 37-42, Bogotá",316131058,com.ShopMaster.Model.Proveedor
Proveedor 46,895781028,"Carrera 76 # 66-70, Medellín",315031056,com.ShopMaster.Model.Proveedor
Proveedor 47,898545858,"Carrera 75 # 61-92, Medellín",304850467,com.ShopMaster.Model.Proveedor
Proveedor 48,897377990,"Carrera 45 # 72-96, Cartagena",303662772,com.ShopMaster.Model.Proveedor
Proveedor 49,895343727,"Carrera 54 # 24-88, Barranquilla",302457732,com.ShopMaster.Model.Proveedor
Proveedor 50,894446693,"Carrera 88 # 83-9, Barranquilla",311624373,com.ShopMaster.Model.Proveedor
Proveedor 51,891449538,"Carrera 45 # 9-16, Barranquilla",318952956,com.ShopMaster.Model.Proveedor
