@relation Dataset_final

@attribute ﻿año numeric
@attribute producto {'Gaseosa Postobón 1.5L','Agua Brisa 600ml','Colombiana 1.5L','Coca-Cola 1.5L','Sprite 1.5L','Fanta 1.5L','Leche Alquería 1L','Mantequilla Alquería 250g','Yogurt Alpina 200ml','Queso Alpina 250g','Arroz Diana x 500g','Lentejas El Dorado x 500g','Queso Colanta 250g','Leche Colanta 1L','Pan Bimbo Tajado','Tostadas Bimbo',Chocorramo,'Gansito Ramo','Jabón Protex 120g','Suavitel 1L','Detergente Ariel 1kg','Shampoo Head & Shoulders 350ml'}
@attribute precio numeric

@data
2015,'Gaseosa Postobón 1.5L',4253.51
2016,'Gaseosa Postobón 1.5L',4663.73
2017,'Gaseosa Postobón 1.5L',4872.53
2018,'Gaseosa Postobón 1.5L',5018.92
2019,'Gaseosa Postobón 1.5L',5259.42
2020,'Gaseosa Postobón 1.5L',5641.27
2021,'Gaseosa Postobón 1.5L',5831.31
2022,'Gaseosa Postobón 1.5L',6126.9
2023,'Gaseosa Postobón 1.5L',6323.72
2024,'Gaseosa Postobón 1.5L',6802.96
2015,'Agua Brisa 600ml',2679.01
2016,'Agua Brisa 600ml',2933.53
2017,'Agua Brisa 600ml',3027.47
2018,'Agua Brisa 600ml',3219.21
2019,'Agua Brisa 600ml',3374.12
2020,'Agua Brisa 600ml',3703.69
2021,'Agua Brisa 600ml',3868.79
2022,'Agua Brisa 600ml',4154.56
2023,'Agua Brisa 600ml',4455.3
2024,'Agua Brisa 600ml',4759.7
2015,'Colombiana 1.5L',6290.25
2016,'Colombiana 1.5L',6742.22
2017,'Colombiana 1.5L',7061.3
2018,'Colombiana 1.5L',7735.07
2019,'Colombiana 1.5L',8055.12
2020,'Colombiana 1.5L',8806.1
2021,'Colombiana 1.5L',9074.89
2022,'Colombiana 1.5L',9943.9
2023,'Colombiana 1.5L',10795.9
2024,'Colombiana 1.5L',11667.9
2015,'Coca-Cola 1.5L',3356.16
2016,'Coca-Cola 1.5L',3541.11
2017,'Coca-Cola 1.5L',3840.19
2018,'Coca-Cola 1.5L',4215.45
2019,'Coca-Cola 1.5L',4381.93
2020,'Coca-Cola 1.5L',4783.51
2021,'Coca-Cola 1.5L',5121.48
2022,'Coca-Cola 1.5L',5604.76
2023,'Coca-Cola 1.5L',5929.68
2024,'Coca-Cola 1.5L',6518.33
2015,'Sprite 1.5L',7011.73
2016,'Sprite 1.5L',7703.06
2017,'Sprite 1.5L',8109.08
2018,'Sprite 1.5L',8367.29
2019,'Sprite 1.5L',8835.11
2020,'Sprite 1.5L',9213.72
2021,'Sprite 1.5L',10002.35
2022,'Sprite 1.5L',10890.7
2023,'Sprite 1.5L',11397.63
2024,'Sprite 1.5L',11918.18
2015,'Fanta 1.5L',5580.59
2016,'Fanta 1.5L',6123.61
2017,'Fanta 1.5L',6609.72
2018,'Fanta 1.5L',6938.78
2019,'Fanta 1.5L',7501.61
2020,'Fanta 1.5L',7819.27
